Country,ESTJ-A,ESFJ-A,INFP-T,ESFJ-T,ENFP-T,ENFP-A,ESTJ-T,ISFJ-T,ENFJ-A,ESTP-A,ISTJ-A,INTP-T,INFJ-T,ISFP-T,ENTJ-A,ESTP-T,ISTJ-T,ESFP-T,ENTP-A,ESFP-A,INTJ-T,ISFJ-A,INTP-A,ENTP-T,ISTP-T,ENTJ-T,ISTP-A,INFP-A,ENFJ-T,INTJ-A,ISFP-A,INFJ-A
Afghanistan,0.07980000000000001,0.0594,0.0482,0.0412,0.0406,0.039,0.039,0.0377,0.0364,0.0361,0.0348,0.0316,0.0313,0.0291,0.0291,0.0291,0.0281,0.0275,0.0268,0.0252,0.024900000000000002,0.0233,0.0233,0.0227,0.022000000000000002,0.022000000000000002,0.021400000000000002,0.0204,0.019799999999999998,0.0182,0.0169,0.015
Albania,0.046900000000000004,0.039900000000000005,0.0836,0.026600000000000002,0.0647,0.0398,0.019799999999999998,0.0286,0.0363,0.0239,0.0223,0.0481,0.0584,0.0226,0.0397,0.014199999999999999,0.0195,0.0207,0.0397,0.019799999999999998,0.0352,0.0163,0.0273,0.0395,0.0128,0.028900000000000002,0.0105,0.0209,0.0412,0.0252,0.0108,0.016399999999999998
Algeria,0.023,0.0275,0.12179999999999999,0.0165,0.052300000000000006,0.0334,0.0097,0.0222,0.0262,0.0154,0.016200000000000003,0.0851,0.0583,0.0264,0.034300000000000004,0.0087,0.0158,0.0148,0.0433,0.0131,0.0492,0.0115,0.0559,0.030600000000000002,0.015700000000000002,0.0192,0.0173,0.0338,0.0294,0.0404,0.0113,0.0217
Andorra,0.0512,0.037200000000000004,0.1023,0.0279,0.09300000000000001,0.0837,0.009300000000000001,0.0279,0.0605,0.013999999999999999,0.018600000000000002,0.0279,0.037200000000000004,0.009300000000000001,0.0279,0.004699999999999999,0.009300000000000001,0.018600000000000002,0.009300000000000001,0.018600000000000002,0.018600000000000002,0.018600000000000002,0.0233,0.0279,0.009300000000000001,0.018600000000000002,0.009300000000000001,0.06509999999999999,0.0558,0.013999999999999999,0.0326,0.04190000000000001
Angola,0.0484,0.09050000000000001,0.0771,0.0287,0.0475,0.0323,0.0108,0.0394,0.0475,0.026000000000000002,0.0323,0.0349,0.045700000000000005,0.022400000000000003,0.0358,0.0108,0.008100000000000001,0.022400000000000003,0.0233,0.0323,0.0197,0.0323,0.0215,0.0215,0.0116,0.0134,0.0206,0.0341,0.0332,0.0269,0.0179,0.031400000000000004
Antigua and Barbuda,0.0323,0.0661,0.10679999999999999,0.0279,0.06509999999999999,0.0441,0.0098,0.0451,0.0377,0.016200000000000003,0.028399999999999998,0.0382,0.053899999999999997,0.035699999999999996,0.0176,0.0083,0.0147,0.023,0.0225,0.0318,0.020099999999999996,0.04019999999999999,0.025,0.0245,0.0127,0.0103,0.0181,0.0313,0.0255,0.0127,0.0235,0.030899999999999997
Argentina,0.0159,0.027000000000000003,0.151,0.0206,0.08220000000000001,0.0516,0.0086,0.0282,0.0275,0.0113,0.0177,0.0703,0.0689,0.0278,0.0161,0.0060999999999999995,0.0165,0.0183,0.025699999999999997,0.0183,0.0387,0.0158,0.035699999999999996,0.0287,0.0148,0.0148,0.010700000000000001,0.0365,0.035,0.0265,0.0138,0.0195
Armenia,0.054299999999999994,0.0401,0.0839,0.022799999999999997,0.0611,0.0446,0.0197,0.0254,0.0362,0.0176,0.0202,0.0506,0.048799999999999996,0.0163,0.0414,0.009399999999999999,0.0197,0.0131,0.0401,0.0131,0.0383,0.0218,0.0333,0.042,0.0076,0.0275,0.0121,0.029900000000000003,0.043,0.030699999999999998,0.0105,0.024700000000000003
Australia,0.0256,0.0643,0.1222,0.0395,0.092,0.056299999999999996,0.009899999999999999,0.053399999999999996,0.0364,0.0139,0.016399999999999998,0.0304,0.0599,0.0401,0.0129,0.0073,0.013999999999999999,0.028300000000000002,0.0207,0.0304,0.0151,0.0292,0.0174,0.0184,0.0104,0.0086,0.0098,0.0278,0.0414,0.012199999999999999,0.0182,0.0173
Austria,0.0286,0.0333,0.1414,0.022000000000000002,0.08439999999999999,0.0593,0.0098,0.028900000000000002,0.0305,0.0158,0.019299999999999998,0.0579,0.0632,0.024399999999999998,0.0219,0.0068000000000000005,0.0141,0.0168,0.0373,0.0199,0.0288,0.0171,0.0327,0.028399999999999998,0.0108,0.0128,0.0113,0.0318,0.0359,0.023700000000000002,0.0134,0.0177
